Group Name,Full Group Name,Group Type,Region,Location,Note,Region
Tir Mara,The Crown Principality of Tir Mara,,,Canada branches,,Tir Mara
 Ar n-Eilean-ne ,Shire of Ar n-Eilean-ne ,Shire,Newfoundland and Labrador, Canada branches,(DORMANT),Tir Mara
 Avonmore,Shire of Avonmore,Shire, New Brunswick, Canada branches,,Tir Mara
 Havre des Glaces,Baronnie du Havre des Glaces,Barony, NE Quebec Province, Canada branches,,Tir Mara
 L'ile du Dragon Dormant, Barony of L'ile du Dragon Dormant,Barony, Montreal QE , Canada branches,,Tir Mara
 Lyndhaven ,Shire of Lyndhaven ,Shire, New Brunswick , Canada branches,,Tir Mara
 Ruantallan, Barony of Ruantallan,Barony, NS & PEI, Canada branches,,Tir Mara
 Distant Shore, Canton of Distant Shore,Canton, NS, Canada branches,,Tir Mara
 Seashire, Canton of Seashire,Canton, Halifax NS, Canada branches,,Tir Mara
 Ynys y Gwaun , Canton of Ynys y Gwaun ,Canton,PEI, Canada branches,,Tir Mara
Northern,The Northern Region,,,,,Northern
 Coldwood , Shire of Coldwood ,Shire, Plattsburgh, NY branches,,Central
 Endewearde, Barony of Endewearde,Barony, Central and Northern Maine ,ME branches,,Northern
 Basingestoches , Canton of Basingestoches ,Canton, Endewearde ,ME branches,,Northern
 Glenn Linn, Shire of Glenn Linn,Shire, Warren-Washington County, NY branches,,Central
 Hadchester, Shire of Hadchester,Shire, Mid-coast Maine ,ME branches,,Northern
 Malagentia, Province of Malagentia,Province, Southern, ME branches,,Northern
 Giggleswick, Riding of Giggleswick,Riding, Southern York County - Maine, ME branches, Canton,Northern
 Ravensbridge, Riding of Ravensbridge,Riding, Augusta - Lewiston - Auburn, ME branches, Canton,Northern
 Mountain Freehold,Shire of Mountain Freehold,Shire, Northwestern Vermont, VT branches,,
 Northern Outpost, Shire of Northern Outpost,Shire, Potsdam, NY branches,,Central
 Panther Vale, Shire of Panther Vale,Shire,Northeastern Vermont, VT branches,,Northern
 Stonemarche,Barony of Stonemarche,Barony, New Hampshire , NH branches,,Northern
Central,The Central Region,,,,,Central
 Anglespur, Shire of Anglespur,Shire, Troy, NY branches,,Central
 Bergental, Barony of Bergental,Barony, Western MA,MA branches,,Northeast
 Beyond the Mountain, Barony Beyond the Mountain,Barony, North East CT, CT branches,,Northeast
 Carolingia, Barony of Carolingia,Barony , Greater Boston, MA branches,,Northeast
 Towers,Canton of the Towers,Canton,Northeast MA , MA branches,,Northeast
 Coill Tuar, Shire of Coill Tuar,Shire , Southern Ulster County, NY branches,,
 Concordia of the Snows, Barony of Concordia of the Snows,Barony , Albany, NY branches,,Central
 Dragonship Haven, Barony of Dragonship Haven,Barony , Southwestern CT, CT branches,,Northeast
 Nordenhal, Shire of Nordenhal,Shire , Kingston, NY branches,,Central
 Quintavia, Shire of Quintavia,Shire , Worcester County, MA branches,,Northeast
 Smoking Rocks, Barony of Smoking Rocks,Barony , Southeast MA ,MA branches,,Northeast
 Bridge, Barony of the Bridge,Barony , RI State , RI branches,,Northeast
Southern,The Southern Region,,,,,Southern
 An Dubhaigeainn, Barony of An Dubhaigeainn,Barony , Suffolk County, NY branches,,Southern
 Hawke's Reache, Canton of Hawke's Reache,Canton , Western Suffolk County, NY branches,,Southern
 Barren Sands, Shire of Barren Sands,Shire , Atlantic - Cape May - Cumberland - Salem County, NJ branches,,Southern
 Bhakail, Barony of Bhakail,Barony , Philadelphia - Delaware and South Chester County, PA branches,,Western
 Ivyeinrust, Bailiwick of Ivyeinrust,Bailiwick , University of PA, PA branches, College,Western
 Blak Rose, Shire of Blak Rose,Shire , Camp Hill and Harrisburg, PA branches,,Western
 Buckland Cross, Barony of Buckland Cross,Barony , Southern Bucks County, PA branches,,Western
 Caer Adamant, Shire of Caer Adamant,Shire , State of Delaware, DE branches,,Western
 Carillion, Barony of Carillion,Barony , Monmouth - Ocean - S.Middlesex County, NJ branches,,Southern
 Eisental, Shire of Eisental,Shire , Allentown - Bethlehem - Easton & Reading, PA branches,,Western
 Hartshorn-dale, Shire of Hartshorn-dale,Shire , Chester-Montgomery,PA branches,,Western
 Iron Bog, Barony of Iron Bog,Barony , Camden - Gloucester - S. Burlington, NJ branches,,Southern
 Montevale, Shire of Montevale,Shire , Fulton - Franklin - Cumberland, PA branches,,Western
 Owlsherst, Shire of Owlsherst,Shire , York - Lancaster - eastern portions of Adams Counties, PA branches,,Western
 Østgarðr, Crown Province of Østgarðr,Crown Province, Greater NYC - Westchester - Putnam Counties, NY branches, Barony,Southern
 Appleholm, Canton of Appleholm,Canton , Manhattan - NYC , NY branches,,Southern
 Brokenbridge, Canton of Brokenbridge,Canton , Brooklyn, NY branches,,
 Lions End, Canton of Lions End,Canton , Nassau County, NY branches,,Southern
 Midland Vale, Canton of Midland Vale,Canton , Sullivan and Orange Counties, NY branches,,Southern
 Northpass, Canton of Northpass,Canton , Putnam & Westchester, NY branches,,Southern
 Old Stonebridges, Canton of Old Stonebridges,Canton ,Rockland County, NY branches,,Southern
 Rusted Woodlands, Shire of Rusted Woodlands,Shire , Bergen - Sussex - Passaic County, NJ branches,,Southern
 Settmour Swamp, Barony of Settmour Swamp,Barony , Somerset - Morris County, NJ branches,,Southern
 Gryphonwald, Canton of Gryphonwald,Canton , Middlesex City, NJ branches,,Southern
 Known World Players, Known World Players Guild,Guild, ,PA branches, Canton,Western
